"Alter";"Preis";"km";"LIFTBACK";"PS90"
3,78;10000;188000;0;1
1,61;21850;25900;0;0
2,28;14500;83300;0;0
5,33;11100;120300;1;1
5,49;6700;142000;0;1
0,34;24000;5500;1;0
4,31;10000;100500;0;1
1,69;16900;31000;0;0
2,53;18000;23000;1;0
3,55;15300;73000;0;0
0,59;19980;1500;0;0
2,28;15600;21700;0;0
2,79;17200;27570;0;0
1,1;18890;13181;0;0
0,17;23900;1800;1;0
3,81;14320;67210;1;0
4,73;11900;73900;1;1
2,53;15200;27000;0;0
2,87;14450;90000;0;0
2,11;18600;27000;0;0
2,7;15000;51500;1;0
2,11;18500;25880;0;0
2,11;18500;19230;0;0
3,72;12350;75000;0;0
2,7;16900;22000;1;0
2,28;18000;35000;1;0
1,27;18890;22500;0;0
0,84;20100;18000;0;0
1,02;19700;12600;0;0
2,37;17500;35900;1;0
1,19;19300;5000;0;0
3,13;15500;39000;0;0
3,21;14000;56400;0;1
2,11;16900;55000;0;0
2,28;17700;25100;1;0
4,23;12500;59200;0;0
1,36;19000;19000;0;0
0,26;22800;5000;0;0
4,23;12350;73000;1;1
1,86;17800;35000;1;0
